mall,store,citizenship,age,gender,race
Raffles City,Capitol Optical,SG Citizen,26,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,32,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,22,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,19,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,32,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,47,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,25,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,37,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,52,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,52,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,38,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,45,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,19,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,23,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,28,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,26,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,58,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,40,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,32,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,38,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,25,Female,Malay
Raffles City,Capitol Optical,SG Citizen,17,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,33,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,20,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,20,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,24,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,27,Female,Indian
Raffles City,Capitol Optical,SG Citizen,41,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,26,Male,Indian
Hougang Mall,Capitol Optical,SG Citizen,22,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,42,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,19,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,23,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,34,Female,Indian
Jurong Point,Capitol Optical,SG Citizen,55,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,42,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,45,Female,Chinese
Jurong Point,Capitol Optical,SG PR,39,Male,Eurasian
Hougang Mall,Capitol Optical,SG Citizen,48,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,22,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,36,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,53,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,34,Male,Chinese
313Somerset,Charles & Keith,SG Citizen,20,Female,Malay
313Somerset,Charles & Keith,SG Citizen,26,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,37,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,32,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,37,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,21,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,46,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,17,Female,Chinese
313Somerset,Charles & Keith,Student Pass,20,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,40,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,33,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,20,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,21,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,42,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,27,Female,Chinese
Vivocity,Charles & Keith,SG PR,34,Female,Others
Vivocity,Charles & Keith,SG Citizen,29,Female,Malay
Jurong Point,Charles & Keith,SG Citizen,33,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,25,Female,Malay
Jurong Point,Charles & Keith,SG PR,29,Female,Others
Jurong Point,Charles & Keith,SG Citizen,46,Female,Malay
Jurong Point,Charles & Keith,SG Citizen,39,Female,Malay
Jurong Point,Charles & Keith,SG Citizen,47,Female,Indian
Raffles City,Charles & Keith,SG Citizen,18,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,30,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,43,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,20,Female,Others
Jurong Point,Charles & Keith,SG Citizen,30,Female,Indian
Raffles City,Charles & Keith,SG Citizen,47,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,29,Female,Malay
Raffles City,Charles & Keith,SG Citizen,27,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,36,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,23,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,23,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,29,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,32,Male,Chinese
313Somerset,Charles & Keith,SG Citizen,46,Female,Chinese
313Somerset,Charles & Keith,SG PR,31,Female,Others
313Somerset,Charles & Keith,SG Citizen,37,Female,Indian
Vivocity,Charles & Keith,SG Citizen,30,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,40,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,42,Female,Chinese
313Somerset,Charles & Keith,Student Pass,27,Female,Others
313Somerset,Charles & Keith,SG Citizen,24,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,24,Female,Others
313Somerset,Charles & Keith,SG Citizen,23,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,28,Female,Malay
313Somerset,Charles & Keith,SG Citizen,24,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,23,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,22,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,19,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,37,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,17,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,23,Female,Malay
Vivocity,Charles & Keith,Student Pass,20,Female,Others
Vivocity,Charles & Keith,SG Citizen,47,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,18,Female,Chinese
Vivocity,Charles & Keith,SG PR,38,Female,Others
Raffles City,Charles & Keith,SG Citizen,42,Female,Indian
Raffles City,Charles & Keith,SG Citizen,30,Female,Malay
Raffles City,Charles & Keith,SG Citizen,18,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,27,Female,Chinese
Raffles City,Charles & Keith,SG PR,30,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,23,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,29,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,23,Female,Indian
Vivocity,Charles & Keith,SG Citizen,32,Female,Malay
Vivocity,Charles & Keith,SG Citizen,42,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,17,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,27,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,46,Female,Indian
Vivocity,Charles & Keith,SG Citizen,26,Female,Eurasian
Jurong Point,Charles & Keith,SG Citizen,19,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,22,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,33,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,23,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,28,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,29,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,30,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,33,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,20,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,30,Male,Chinese
Raffles City,Charles & Keith,SG Citizen,22,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,26,Female,Malay
313Somerset,Charles & Keith,SG Citizen,18,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,47,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,27,Female,Chinese
313Somerset,Charles & Keith,Student Pass,20,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,31,Female,Indian
313Somerset,Charles & Keith,SG Citizen,24,Female,Malay
313Somerset,Charles & Keith,SG Citizen,43,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,28,Female,Malay
313Somerset,Charles & Keith,SG Citizen,18,Female,Chinese
313Somerset,Charles & Keith,SG Citizen,23,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,25,Female,Chinese
Raffles City,Charles & Keith,SG Citizen,39,Female,Chinese
Vivocity,Charles & Keith,SG Citizen,32,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,20,Female,Malay
Jurong Point,Charles & Keith,SG Citizen,22,Female,Chinese
Jurong Point,Charles & Keith,SG PR,31,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,20,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,22,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,17,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,19,Female,Chinese
Jurong Point,Charles & Keith,SG Citizen,37,Female,Chinese
Jurong Point,Charles & Keith,SG PR,28,Female,Malay
